Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,text,preview_date,home_team,away_team,url
E0,2012-11-03,norwich,stoke,1,0,H,1,0,H,A Marriner,12,8,8,3,11,13,9,1,1,5,0,0,2.6,3.3,2.75,2.6,3.3,2.8,2.6,3.3,2.8,2.6,3.2,2.6,2.6,3.25,2.7,2.67,3.36,2.87,2.6,3.2,2.75,2.6,3.3,2.75,2.62,3.3,2.88,2.62,3.25,2.62,36,2.7,2.61,3.36,3.24,2.91,2.74,33,2.25,2.1,1.8,1.73,21,-0.25,2.32,2.25,1.72,1.68,2.46,3.37,3.16,"Norwich will be buoyed after their midweek win over Tottenham in the Capital One Cup, giving them their first cup quarter-final appearance for 18 years. The Canaries have only won one Premier League game this season, but given that victory came against Arsenal they will feel confident of also overcoming Stoke. The visitors won the last time these sides met in the league thanks to a late strike from Matthew Etherington. Tony Pulis will see this as a chance for his side to secure their first away win of the season. Amy Lofthouse",2012-11-02,norwich,stoke,https://www.theguardian.com/football/2012/nov/02/norwich-city-stoke-city-squad-sheets
E0,2012-11-03,sunderland,aston villa,0,1,A,0,0,D,M Jones,11,9,1,6,10,17,6,7,2,3,0,0,2.1,3.3,3.6,2.0,3.25,3.8,2.0,3.25,3.8,2.0,3.3,3.6,1.95,3.3,4.0,2.16,3.41,3.79,2.0,3.25,4.0,2.1,3.3,3.6,2.15,3.3,3.9,1.91,3.4,4.0,36,2.16,2.08,3.41,3.28,4.0,3.68,33,2.34,2.2,1.7,1.67,22,-0.25,1.85,1.8,2.16,2.08,1.99,3.36,4.54,"Might Paul Lambert recall Sunderland old boy Darren Bent? Will a home player other than Steven Fletcher manage to score a goal for Martin O'Neill's shot-shy side? How will the Stadium of Light react if Sunderland compound their midweek cup exit to Middlesbrough by slipping up again in the Premier League? Lambert played for O'Neill at Celtic and was later recommended for the Wycombe job by the Northern Irishman, but the pair's mutual admiration will be placed on hold as they strive to keep the critics at bay by overcoming underwhelming starts to the season. Louise Taylor",2012-11-02,sunderland,aston villa,https://www.theguardian.com/football/2012/nov/02/sunderland-aston-villa-squad-sheets
E0,2012-11-03,swansea,chelsea,1,1,D,0,0,D,K Friend,9,11,7,7,12,9,8,6,4,1,0,0,4.5,3.6,1.8,4.5,3.6,1.75,4.5,3.6,1.75,4.2,3.5,1.8,5.0,3.75,1.67,4.63,3.8,1.85,4.2,3.75,1.8,4.8,3.8,1.73,4.8,3.6,1.85,5.0,3.8,1.67,36,5.0,4.45,3.8,3.64,1.88,1.8,33,1.74,1.68,2.28,2.16,21,0.75,1.87,1.81,2.14,2.08,4.33,3.79,1.9,"Swansea's Capital One Cup victory over Liverpool will have given Michael Laudrup's players great encouragement after an inconsistent start to the season. These two sides previously met in January, where a late own goal from Neil Taylor denied Swansea a victory over Chelsea, and, this time around, the visitors will be looking to put their latest controversy behind them and consolidate their position at the top of the table. Roberto Di Matteo's men, having not lost an away league game this season, should triumph. Amy Lofthouse",2012-11-02,swansea,chelsea,https://www.theguardian.com/football/2012/nov/02/swansea-city-chelsea-squad-sheets
E0,2012-11-03,tottenham,wigan,0,1,A,0,0,D,M Atkinson,13,7,10,4,10,11,9,3,1,1,0,0,1.5,4.33,6.5,1.44,4.33,7.0,1.44,4.33,7.0,1.4,4.4,7.3,1.44,4.33,7.0,1.5,4.56,7.45,1.44,4.33,7.0,1.4,4.5,7.5,1.53,4.4,7.0,1.4,4.5,7.5,36,1.52,1.47,4.56,4.31,7.6,6.96,26,1.66,1.59,2.42,2.31,22,-1.0,1.85,1.8,2.12,2.08,1.54,4.44,6.79,"Both of these sides suffered Capital One Cup eliminations during the week, with Wigan's defeat by Bradford more alarming than Tottenham's loss at Norwich, although that defeat did highlight a problem that must bother André Villas-Boas. Spurs are still not scoring as many goals as they should be, with the top scorer Jermain Defoe still guilty of missing many chances, Emmanuel Adebayor out of favour and Clint Dempsey not yet fitting in. Gareth Bale and Aaron Lennon can be counted on to continue creating chances but hope for Wigan comes from the fact that Spurs are not sure to take them. Paul Doyle",2012-11-02,tottenham,wigan,https://www.theguardian.com/football/2012/nov/02/tottenham-hotspur-wigan-athletic-squad-sheets
E0,2012-11-03,west ham,man city,0,0,D,0,0,D,H Webb,6,18,1,8,11,12,3,7,3,0,0,0,5.0,3.8,1.7,5.0,3.8,1.65,5.0,3.8,1.65,4.7,3.6,1.7,5.0,3.75,1.67,5.18,3.98,1.74,4.8,3.8,1.7,4.5,3.8,1.73,5.2,4.0,1.73,4.5,3.75,1.73,36,5.3,4.98,4.0,3.76,1.75,1.7,33,1.73,1.67,2.32,2.2,22,0.75,2.02,1.97,1.95,1.9,4.66,4.0,1.8,"This trip to London might feel like an inconvenience to Manchester City given the do-or-die nature of the Champions League assignment against Ajax, but Roberto Mancini will stress the need to retain focus in the Premier League, where the club remain unbeaten despite rarely hitting the heights of last season. Leading players have yet to get going and Mancini has issues to vex him, not least the manner in which opposing teams are raising themselves against the champions. West Ham represent the latest awkward test. David Hytner",2012-11-02,west ham,man city,https://www.theguardian.com/football/2012/nov/02/west-ham-manchester-city-squad-sheets
E0,2012-11-04,liverpool,newcastle,1,1,D,0,1,A,A Taylor,20,10,12,3,10,13,14,3,0,1,0,1,1.57,4.0,6.0,1.6,4.0,6.0,1.6,4.0,6.0,1.55,3.9,5.6,1.57,3.75,6.0,1.54,4.39,6.89,1.55,4.0,6.0,1.57,4.0,6.0,1.57,4.2,6.5,1.62,3.8,5.5,35,1.62,1.55,4.39,4.05,6.89,6.11,32,1.83,1.75,2.16,2.08,23,-1.0,1.94,1.88,2.04,1.99,1.61,4.5,5.61,"Brendan Rodgers lamented Liverpool's continued reliance on Steven Gerrard, plus Luis Suárez, after the Capital One Cup defeat by Swansea, but he was not the first Anfield manager to do so. Gerrard will become the 10th player in Liverpool's history to make 600 appearances for the club on Sunday and needs victory not to record the milestone but to ignite the season. As do Newcastle, who have yet to win away from home so far this campaign. Liverpool have not won back-to-back league games at home since September 2011.Suárez and Demba Ba are both in the form to maintain the fixture's high-scoring traditions. Andy Hunter",2012-11-02,liverpool,newcastle,https://www.theguardian.com/football/2012/nov/02/liverpool-newcastle-united-squad-sheets
E0,2012-11-04,qpr,reading,1,1,D,0,1,A,M Oliver,23,18,12,8,11,15,8,8,0,2,0,0,1.8,3.6,4.5,1.85,3.5,4.1,1.85,3.5,4.1,1.95,3.35,3.7,1.83,3.5,4.33,1.83,3.86,4.68,1.83,3.6,4.2,1.83,3.75,4.0,1.83,3.8,4.6,1.83,3.5,4.33,36,1.95,1.82,3.86,3.61,4.68,4.3,33,1.84,1.79,2.16,2.03,20,-0.5,1.84,1.81,2.11,2.06,1.97,3.63,4.21,"Tension is unavoidable as the Premier League's two win-less teams meet for the first time in the top flight. The pressure on Mark Hughes's team is a little warmer given the money he spent on fresh ammunition over the summer. Queens Park Rangers could do with keeping all 11 players on the pitch, and they have not won a game this term when they have conceded the first goal (six times). Reading played with admirable heart against Fulham last weekend, but it remains to be seen how they react to the shock of blowing a 4-0 lead in midweek. Amy Lawrence",2012-11-02,qpr,reading,https://www.theguardian.com/football/2012/nov/02/qpr-reading-squad-sheets
E0,2012-11-05,west brom,southampton,2,0,H,1,0,H,M Halsey,16,9,6,5,6,12,8,6,1,0,0,0,1.73,3.75,4.75,1.75,3.6,5.25,1.75,3.6,5.25,1.75,3.5,4.5,1.75,3.75,4.5,1.76,4.07,4.82,1.75,3.4,5.0,1.67,3.8,5.0,1.73,4.0,5.0,1.7,3.6,5.0,33,1.76,1.72,4.07,3.7,5.1,4.8,30,1.73,1.67,2.36,2.19,19,-0.75,1.99,1.94,1.97,1.93,1.87,3.89,4.36,"West Bromwich's impressive start to the season has seen Steve Clarke build on the foundations left by Roy Hodgson and despite last month's 2-1 loss to Manchester City, Albion have proved they can handle themselves and, as such, will be confident of overcoming a Southampton side one place off the bottom of the table. Saints have only one win to their name since returning to the top flight and suffered a Capital One Cup defeat at Leeds in midweek when, once again, their defence was very shaky under pressure. Amy Lofthouse",2012-11-02,west brom,southampton,https://www.theguardian.com/football/2012/nov/02/west-brom-southampton-squad-sheets
E0,2012-11-10,arsenal,fulham,3,3,D,2,2,D,P Dowd,15,9,9,5,12,10,8,6,1,2,0,0,1.53,4.2,6.0,1.57,4.1,6.25,1.57,4.1,6.25,1.5,4.0,6.1,1.5,4.0,6.5,1.56,4.4,6.48,1.57,3.5,7.0,1.5,4.33,6.25,1.57,4.3,6.5,1.57,4.0,5.5,38,1.57,1.53,4.45,4.06,7.0,6.24,36,1.64,1.59,2.46,2.32,24,-1.0,1.97,1.91,2.01,1.96,1.56,4.3,6.45,"Arsenal have found Fulham awkward customers to deal with over the last couple of seasons. Indeed, it is almost two years since the Gunners were victorious against their neighbours on the other side of the capital, with the Cottagers unbeaten in their last three Premier League fixtures against Arsène Wenger's side. ""There's no pressure on us, it's all on Arsenal,"" said Fulham's Chris Baird. ""We can go there, try and play our football and see what happens."" Martin Jol will be hoping Kieran Richardson shakes off a bout of illness in time to feature. John Ashdown",2012-11-09,arsenal,fulham,https://www.theguardian.com/football/2012/nov/09/arsenal-fulham-squad-sheets
E0,2012-11-10,aston villa,man united,2,3,A,1,0,H,K Friend,10,16,7,7,12,7,5,6,1,1,0,0,7.0,4.5,1.44,7.0,4.0,1.48,7.0,4.0,1.48,6.1,4.0,1.5,6.5,4.0,1.5,7.1,4.69,1.5,7.0,4.0,1.5,6.5,4.33,1.5,7.0,4.6,1.5,6.0,4.33,1.5,38,7.2,6.54,4.75,4.25,1.53,1.49,36,1.69,1.64,2.36,2.24,22,1.0,2.2,2.08,1.85,1.81,7.9,5.11,1.43,"Since a 3-1 victory over Sir Alex Ferguson's kids 17 years ago, Villa have crumbled when United visit. Paul Lambert's revolution is making slow but steady progress, his young side's three-match unbeaten run putting a relatively comfortable four-point buffer between themselves and the relegation zone. Villa are boosted by the return after suspension of Karim El Ahmadi, whose crisp passing has brought some vital composure to an otherwise inexperienced midfield; Villa have held the majority of possession on only two occasions this season. The hosts will need significantly higher ball retention than in recent weeks if they are to stunt a visiting side that seem to be steadily growing in confidence as the season progresses. United have won four successive league games since the shock 3-2 defeat by Tottenham, and with a relatively straight forward run of games until the Manchester derby in early December, Ferguson will be keen to ensure his team do not drop points against sides as depleted as Villa. Alex Keble",2012-11-09,aston villa,man united,https://www.theguardian.com/football/2012/nov/09/aston-villa-manchester-united-squad-sheets
E0,2012-11-10,everton,sunderland,2,1,H,0,1,A,L Mason,16,6,10,4,14,14,6,2,1,3,0,0,1.44,4.2,8.0,1.48,3.9,7.25,1.48,3.9,7.25,1.55,3.9,5.6,1.5,4.0,7.0,1.48,4.46,8.21,1.5,3.75,7.5,1.44,4.0,8.0,1.45,4.4,7.5,1.44,4.0,8.0,38,1.55,1.46,4.5,4.15,8.4,7.36,37,1.95,1.88,2.02,1.91,22,-1.0,1.79,1.74,2.21,2.15,1.39,5.05,9.76,"Four successive draws have put the brakes on Everton's uncharacteristically rip-roaring start to the season, and with Arsenal, Tottenham and Manchester City on the fixture list between now and Christmas, David Moyes's side could do with getting back to winning ways. With struggling Sunderland, with one goal and no wins in their last five games, visiting Goodison Park, they could hardly wish for a better opportunity. Martin O'Neill's verdict that his side are playing ""reasonably OK"" was hardly a ringing endorsement. John Ashdown",2012-11-09,everton,sunderland,https://www.theguardian.com/football/2012/nov/09/everton-sunderland-squad-sheets
E0,2012-11-10,reading,norwich,0,0,D,0,0,D,C Foy,7,10,3,3,9,16,10,3,0,1,0,0,2.25,3.4,3.2,2.25,3.3,3.1,2.25,3.3,3.1,2.1,3.3,3.3,2.2,3.4,3.2,2.27,3.59,3.32,2.3,3.1,3.3,2.2,3.5,3.2,2.25,3.5,3.25,2.25,3.25,3.2,38,2.32,2.23,3.59,3.35,3.35,3.21,37,1.85,1.79,2.12,2.01,23,-0.25,2.0,1.93,1.98,1.94,2.27,3.65,3.26,"""For us, there are no easy matches – irrespective of the opposition, we have to be on top of our game,"" said the Norwich manager, Chris Hughton, ahead of his side's trip to 18th-placed Reading. The Royals manager, Brian McDermott, insisted this week that ""every single person at the club is going in the same direction"" and there does seem to be plenty of positivity at the Madejski, despite the club still being in search of their first league win. ""The win is coming, everyone knows it,"" said the Reading midfielder Jem Karacan. John Ashdown",2012-11-09,reading,norwich,https://www.theguardian.com/football/2012/nov/09/reading-norwich-city-squad-sheets
E0,2012-11-10,southampton,swansea,1,1,D,0,0,D,A Marriner,11,5,5,3,11,10,10,6,2,2,0,0,2.38,3.5,2.88,2.4,3.4,2.8,2.4,3.4,2.8,2.4,3.3,2.75,2.38,3.3,2.9,2.4,3.64,3.04,2.5,3.2,2.88,2.4,3.5,2.88,2.45,3.5,2.9,2.38,3.5,2.8,38,2.5,2.39,3.64,3.43,3.05,2.87,36,1.75,1.67,2.33,2.19,22,-0.25,2.12,2.06,1.86,1.82,2.52,3.67,2.84,"Southampton are in desperate need of a win to ease some of the pressure on Nigel Adkins, and the visit of Swansea presents a good opportunity to collect three points for only the second time this season. The Saints manager has denied reports he was issued with an ultimatum this week by the chairman but a fifth successive defeat in all competitions would still be disastrous. Michael Laudrup has told his players to be wary of a motivated side keen to save their manager, although he will be quietly confident of a good performance following his team's impressive 1-1 draw against Chelsea last weekend. Jack Cork should be fit to make his first appearance of the season, and Southampton fans can welcome the record signing Gastón Ramírez to St Mary's after he returned from injury to face West Bromwich Albion on Monday. Five of Southampton's next seven fixtures are at home, the highest placed of these opponents being Newcastle in 10th. Southampton's fate will most likely be decided over the next few weeks; a win on Saturday would be the perfect way to kickstart their season. Alex Keble",2012-11-09,southampton,swansea,https://www.theguardian.com/football/2012/nov/09/southampton-swansea-city-squad-sheets
E0,2012-11-10,stoke,qpr,1,0,H,0,0,D,M Atkinson,10,17,5,8,11,16,5,5,2,3,0,0,1.91,3.4,4.2,1.85,3.4,4.25,1.85,3.4,4.25,1.75,3.5,4.5,1.91,3.4,4.0,1.95,3.55,4.42,2.0,3.2,4.0,1.91,3.5,4.0,1.91,3.5,4.5,1.83,3.4,4.5,38,2.0,1.9,3.55,3.4,4.55,4.18,37,2.2,2.07,1.81,1.74,21,-0.5,1.95,1.91,1.99,1.96,2.04,3.44,4.18,"Tony Pulis could be forgiven for feeling pretty grateful to Mark Hughes. QPR's winless campaign, coupled with the struggles of Southampton and Reading, have meant that Stoke's own slow start has gone largely unnoticed. Pulis's Potters have won only one in 10 thus far and have scored six goals fewer than rock-bottom Southampton. ""The disappointing thing is we've players who have goals in them,"" said Pulis. ""The one thing I didn't think we'd have a problem with this season is scoring goals. But things like this happen so you have to make sure everybody stays nice and calm, keeps the belief, keeps the faith."" Archie Smith",2012-11-09,stoke,qpr,https://www.theguardian.com/football/2012/nov/09/stoke-city-qpr-squad-sheets
E0,2012-11-10,wigan,west brom,1,2,A,1,2,A,N Swarbrick,14,7,6,4,9,13,5,8,1,4,0,0,2.3,3.4,3.1,2.35,3.3,3.2,2.35,3.3,3.2,2.35,3.3,2.85,2.3,3.3,3.0,2.38,3.46,3.22,2.4,3.1,3.1,2.3,3.4,3.0,2.38,3.4,3.2,2.3,3.4,3.0,38,2.4,2.31,3.5,3.35,3.35,3.07,37,1.91,1.82,2.08,1.98,23,-0.25,2.05,2.0,1.89,1.86,2.2,3.46,3.56,"Albion's Steve Clarke has been making an early bid for manager of the season, but he is determined to keep his feet on the ground. ""People ask about Europe but it is too early for that,"" he said. ""It is a dangerous league. If we hadn't won the other night against Southampton, we would be stuck in mid-table."" Wigan are looking to complete a hat-trick of wins, after victories against West Ham and, particularly impressively, at Tottenham last weekend. But Roberto Martínez also struck a cautious note, describing this fixture as ""arguably one of the toughest this season"". Archie Smith",2012-11-09,wigan,west brom,https://www.theguardian.com/football/2012/nov/09/wigan-athletic-west-brom-squad-sheets
E0,2012-11-11,chelsea,liverpool,1,1,D,1,0,H,H Webb,12,9,3,5,12,13,4,7,1,3,0,0,1.95,3.5,4.0,1.95,3.7,3.9,1.95,3.7,3.9,1.85,3.45,4.0,1.91,3.4,4.0,2.01,3.77,3.88,2.0,3.2,4.0,1.95,3.6,3.8,1.95,3.7,3.9,1.91,3.4,4.0,37,2.01,1.94,3.77,3.5,4.05,3.85,36,1.79,1.75,2.2,2.07,17,-0.25,1.75,1.71,2.26,2.21,1.85,3.7,4.8,"This is a fixture that tends to coax the best out of the visitors. Kenny Dalglish's side prevailed twice at Stamford Bridge within a matter of weeks last term, undermining André Villas-Boas's position in the process, and Brendan Rodgers will urge them to prove their current position is deceptive. Roberto Di Matteo, a manager overseeing a team brimming with attacking verve, will seek evidence of some solidity of old and may restore John Terry, on his return from domestic suspension, to confront the slippery Luis Suárez. The hosts could start the day four points off the top. This is no occasion to slip up. Dominic Fifield",2012-11-09,chelsea,liverpool,https://www.theguardian.com/football/2012/nov/09/chelsea-liverpool-squad-sheets
E0,2012-11-11,man city,tottenham,2,1,H,0,1,A,M Oliver,16,6,8,2,16,7,8,2,1,2,0,0,1.57,4.0,6.0,1.65,4.2,5.25,1.65,4.2,5.25,1.6,3.7,5.4,1.62,3.75,5.5,1.59,4.4,6.12,1.62,3.75,5.5,1.57,4.0,5.8,1.6,4.3,6.0,1.62,3.8,5.5,38,1.62,1.58,4.4,3.99,6.2,5.7,35,1.7,1.64,2.4,2.23,24,-1.0,2.01,1.97,1.95,1.9,1.52,4.69,6.6,"Sunday's visit of Tottenham presents a side that has already beaten Manchester United at their place this campaign, so Roberto Mancini's band should have a tough time defending their unbeaten Premier League record. After the disappointing draws with West Ham and Ajax in the Champions League that compounded a turbulent week, the manager did not appear for his pre-game press conference on Friday. We are told he was merely busy elsewhere – as a fortnight has passed since City last won a game and with David Silva, Mancini's go-to lock-picker doubtful as he recovers from a hamstring problem, the Italian may have been plotting how to get his side finally to spark. Jamie Jackson",2012-11-09,man city,tottenham,https://www.theguardian.com/football/2012/nov/09/manchester-city-tottenham-hotspur-squad-sheets
E0,2012-11-11,newcastle,west ham,0,1,A,0,1,A,M Dean,14,10,9,5,8,14,11,4,1,2,0,0,1.95,3.6,3.8,1.95,3.4,3.8,1.95,3.4,3.8,1.85,3.45,4.0,1.91,3.4,4.0,2.04,3.66,3.89,2.05,3.1,4.0,2.0,3.5,3.75,2.05,3.6,3.9,1.91,3.4,4.0,38,2.05,1.99,3.66,3.4,4.05,3.81,37,1.84,1.78,2.14,2.02,21,-0.25,1.78,1.73,2.22,2.16,2.0,3.72,3.97,"Alan Pardew has fuelled the fire before Sunday's visit of West Ham by declaring his intention to sign Andy Carroll when his loan deal expires. The fixture was already set to be a lively affair, with both Pardew and Sam Allardyce facing their former employers. Allardyce will be keen to seek revenge following his dismissal in 2008, his opposite number being the man Mike Ashley lined up to replace him. Both sides are struggling defensively, which could mean plenty of goals at St James' Park. West Ham wait on fitness tests for James Collins and James Tomkins, while Newcastle are without the suspended duo of Fabricio Coloccini and Cheik Tioté, Newcastle's two key defensive players. Their absence gives a boost to the visitors' physical approach, which has not been particularly successful away from home; a 2-1 victory at QPR is their only away success to date. Up against a depleted Newcastle recovering from a midweek trip to Belgium, Allardyce could rectify West Ham's away form, and make a victorious return. Alex Keble",2012-11-09,newcastle,west ham,https://www.theguardian.com/football/2012/nov/09/newcastle-united-west-ham-squad-sheets
E0,2012-11-17,arsenal,tottenham,5,2,H,3,1,H,H Webb,13,6,10,4,13,12,6,6,1,2,0,1,1.91,3.75,3.8,1.95,3.7,3.9,1.95,3.7,3.9,2.0,3.3,3.6,1.95,3.6,3.6,1.93,3.83,4.18,1.95,3.4,4.0,1.95,3.75,3.8,1.92,3.75,4.1,1.91,3.6,3.75,38,2.0,1.94,3.8,3.62,4.14,3.79,33,1.65,1.58,2.54,2.32,20,-0.5,1.97,1.93,1.99,1.94,1.92,3.66,4.41,"it is not uncommon for a derby to be characterised by tension but this meeting of north London's most prominent clubs has a particularly fraught feel to it. The hosts have made their worst start to a league campaign under Arsène Wenger's management and confidence is fragile within a team that has blown a two-goal lead in their last two games. Tottenham, too, have their difficulties, having lost their last two league games and, like Arsenal, their defence continues to appear vulnerable. Goals are practically guaranteed. Sachin Nakrani",2012-11-16,arsenal,tottenham,https://www.theguardian.com/football/2012/nov/16/arsenal-tottenham-hotspur-squad-sheets
E0,2012-11-17,liverpool,wigan,3,0,H,0,0,D,K Friend,22,9,11,3,9,11,10,5,0,3,0,0,1.44,4.33,7.5,1.44,4.33,7.0,1.44,4.33,7.0,1.45,4.0,7.0,1.44,4.33,7.0,1.49,4.7,7.49,1.44,4.33,7.5,1.44,4.5,7.0,1.45,4.6,7.5,1.4,4.5,7.5,37,1.5,1.46,4.75,4.33,8.0,6.95,35,1.75,1.66,2.32,2.19,21,-1.0,1.82,1.79,2.16,2.09,1.48,4.55,8.02,"They are both 39-years-old, both previously managed Swansea and, although only one is actually from Spain, both speak fluent Spanish. Brendan Rodgers and Roberto Martínez have much in common; these two football purists were the leading candidates to succeed Kenny Dalglish at Anfield last summer. In the end Martínez stayed put at Wigan, leaving Rodgers striving to reprise Liverpool's former glories. With the Merseysiders stuck in 13th place, Saturday promises to be tricky; Wigan won at Anfield last season and once again much may hinge on Luis Suárez. Louise Taylor",2012-11-16,liverpool,wigan,https://www.theguardian.com/football/2012/nov/16/liverpool-wigan-athletic-squad-sheets
E0,2012-11-17,man city,aston villa,5,0,H,1,0,H,J Moss,21,10,8,8,9,4,9,4,0,1,0,0,1.2,6.5,15.0,1.22,6.5,10.5,1.22,6.5,10.5,1.2,5.8,13.0,1.22,6.0,12.0,1.22,7.49,15.51,1.22,6.0,13.0,1.2,6.5,15.0,1.2,7.5,15.0,1.22,6.0,12.0,37,1.23,1.21,7.5,6.51,15.92,12.96,26,1.53,1.44,2.85,2.65,21,-2.0,2.1,2.04,1.91,1.83,1.2,7.48,18.18,"Roberto Mancini breezed into his Friday press conference wearing a David Platt mask to poke fun at himself and illustrate a lighter mood after recent travails during which he sent his assistant to speak with the media. Manchester City's manager protects the Premier League's only unbeaten record against a team defeated 4-1 in the corresponding fixture last season, though Aston Villa's recent form has them a place above the drop zone. After Maicon helped inspire Sunday's 3-2 win over Tottenham when entering as a substitute the Brazilian may start, while Mario Balotelli, dropped from the squad for that game due to attitude issues, will hope for a return. Jamie Jackson",2012-11-16,man city,aston villa,https://www.theguardian.com/football/2012/nov/16/manchester-city-aston-villa-squad-sheets
E0,2012-11-17,newcastle,swansea,1,2,A,0,0,D,P Dowd,27,15,10,9,7,7,5,4,1,3,0,0,1.91,3.6,4.0,1.87,3.5,4.0,1.87,3.5,4.0,1.8,3.5,4.2,1.83,3.5,4.33,1.98,3.68,4.08,1.95,3.4,4.0,1.91,3.6,4.0,1.92,3.6,4.2,1.83,3.5,4.33,37,2.0,1.93,3.65,3.48,4.33,4.0,36,1.91,1.81,2.06,1.99,18,-0.75,2.32,2.26,1.71,1.68,2.18,3.46,3.63,"Newcastle may have exceeded expectations by finishing fifth last season, but aspire to more than their current position of 10th. However, Sunday's home defeat to West Ham has ruffled Magpie feathers and the continued absence of the suspended Fabricio Coloccini is compounded todayon Saturday by Yohan Cabaye missing out through injury. Their squad depth is being tested. Swansea would be happy to end up where they are now – 11th – and Michael Laudrup's improving side will hope to take advantage of any home uncertainty. Paul Chronnell",2012-11-16,newcastle,swansea,https://www.theguardian.com/football/2012/nov/16/newcastle-united-swansea-city-squad-sheets
E0,2012-11-17,norwich,man united,1,0,H,0,0,D,A Taylor,10,12,5,9,10,7,0,12,0,1,0,0,7.0,4.5,1.44,7.0,4.5,1.42,7.0,4.5,1.42,7.0,4.0,1.45,6.5,4.5,1.44,7.25,4.99,1.47,8.0,4.5,1.4,7.0,4.5,1.44,8.0,4.8,1.44,7.0,4.33,1.44,38,8.0,6.96,4.95,4.41,1.49,1.45,28,1.6,1.52,2.66,2.43,21,1.25,1.9,1.84,2.09,2.03,6.23,4.38,1.58,"Norwich should probably not get too excited if they take the lead against Manchester United, Sir Alex Ferguson's side having come from behind to win numerous times this season. Aston Villa felt United's powers of recovery last week, letting a two-goal lead slip, but perhaps Norwich, unbeaten in their past five matches, are made of sterner stuff. Much will depend on how Chris Hughton's improving side handle the in-form Javier Hernández, who is expected to be handed a rare Premier League start after scoring seven goals in his past five games. Jacob Steinberg",2012-11-16,norwich,man united,https://www.theguardian.com/football/2012/nov/16/norwich-city-manchester-united-squad-sheets
E0,2012-11-17,qpr,southampton,1,3,A,0,2,A,M Dean,13,21,7,15,12,9,4,13,1,0,0,0,1.91,3.6,4.0,1.87,3.5,4.0,1.87,3.5,4.0,1.9,3.45,3.8,1.91,3.4,4.0,1.98,3.71,4.04,1.95,3.4,4.0,1.91,3.6,4.0,1.95,3.6,4.1,1.91,3.6,3.75,37,2.0,1.93,3.7,3.53,4.2,3.93,36,1.75,1.66,2.3,2.2,19,-0.75,2.3,2.22,1.75,1.7,1.98,3.69,4.07,"The stakes are high in a clash that has been dubbed ""El Sackico"" and Nigel Adkins is entitled to approach it with more confidence that Mark Hughes even if Southampton have yet to win away this season. At least his team has shown cohesion and attacking menace, whereas QPR have struggled to score and only intermittently suggested they are playing to a plan. Having said that, both teams have an alarming propensity to sabotage themselves with mistakes so the result is difficult to predict. A draw would be no surprise. Paul Doyle",2012-11-16,qpr,southampton,https://www.theguardian.com/football/2012/nov/16/qpr-southampton-squad-sheets
E0,2012-11-17,reading,everton,2,1,H,0,1,A,M Atkinson,12,21,4,11,11,11,7,13,3,2,0,0,4.33,3.6,1.83,4.25,3.6,1.8,4.25,3.6,1.8,3.8,3.45,1.9,4.2,3.5,1.83,4.53,3.99,1.82,4.5,3.4,1.83,4.0,3.8,1.83,4.5,3.9,1.8,4.0,3.75,1.83,37,4.6,4.27,3.95,3.64,1.9,1.83,36,1.77,1.69,2.28,2.15,20,0.75,1.89,1.84,2.12,2.04,4.87,3.83,1.8,"Reading's manager Brian McDermott has had his say after his side were booed off by their own supporters at the end of last Saturday's goalless draw with Norwich, but the message from impatient terraces and boardroom alike is clear: a first league win of the season is overdue. Can it come at the 12th time of asking? Everton are aiming to maintain an impressive start that sees them in fourth place and, while they will be without Kevin Mirallas on Saturday, they are finding goals easy to come by. Reading's wait may go on. Paul Chronnell",2012-11-16,reading,everton,https://www.theguardian.com/football/2012/nov/16/reading-everton-squad-sheets
