Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,text,preview_date,home_team,away_team,url
E0,2012-09-15,norwich,west ham,0,0,D,0,0,D,C Foy,20,9,14,4,10,12,8,5,0,1,0,0,2.38,3.4,3.0,2.3,3.4,3.1,2.3,3.4,3.1,2.3,3.2,2.8,2.3,3.4,3.0,2.4,3.49,3.17,2.5,3.1,2.9,2.25,3.4,3.2,2.4,3.4,3.12,2.38,3.25,2.88,40,2.5,2.36,3.5,3.29,3.2,3.02,36,2.02,1.91,2.02,1.9,25,-0.25,2.09,2.04,1.88,1.84,2.54,3.4,2.99,"Norwich's manager, Chris Hughton, has denied his team are a soft touch despite them not receiving a yellow card in their first three games. Sam Allardyce's West Ham, conversely, have already picked up four cautions and are renowned for adopting a no-nonsense approach. While their physical threat will be somewhat lessened by the absence of the on-loan Liverpool striker Andy Carroll with a hamstring injury, the Hammers will still present an imposing challenge for a Norwich side who have yet to get going in 2012-13. Rich Flower",2012-09-14,norwich,west ham,https://www.theguardian.com/football/2012/sep/14/norwich-city-west-ham-squad-sheets
E0,2012-09-15,qpr,chelsea,0,0,D,0,0,D,A Marriner,10,13,6,9,16,17,2,4,0,2,0,0,4.5,3.5,1.83,4.75,3.5,1.75,4.75,3.5,1.75,4.3,3.4,1.75,4.5,3.5,1.8,4.5,3.69,1.89,4.5,3.1,1.91,4.33,3.6,1.83,4.5,3.6,1.87,4.5,3.6,1.73,40,5.0,4.48,3.75,3.49,1.91,1.83,37,1.94,1.86,2.02,1.95,22,0.75,1.86,1.77,2.19,2.12,4.43,3.69,1.91,"The focus at Loftus Road will initially be drawn, albeit with a weary sense of dread, to the pre-match handshake, though it is the football that should prove compelling. QPR's start to the new campaign may have been haphazard at best but there is quality in the squad Mark Hughes has thrown together at lavish expense and, if the home side can gel in the frenzied atmosphere, they should test Chelsea's perfect start to the Premier League season. Aside from the John Terry furore, last season's corresponding fixture was spiky, with the visitors reduced to nine men, beaten, and their confidence shaken for the weeks ahead. Roberto Di Matteo will be desperate to avoid a repeat. Dominic Fifield",2012-09-14,qpr,chelsea,https://www.theguardian.com/football/2012/sep/14/queens-park-rangers-chelsea-squad-sheets
E0,2012-09-15,stoke,man city,1,1,D,1,1,D,M Clattenburg,4,15,3,11,12,12,6,5,0,1,0,0,5.0,3.6,1.73,5.0,3.5,1.7,5.0,3.5,1.7,4.4,3.5,1.7,5.0,3.5,1.73,5.3,3.78,1.76,5.5,3.2,1.75,5.25,3.6,1.73,5.25,3.75,1.75,5.0,3.6,1.67,40,5.5,5.11,3.82,3.56,1.76,1.72,37,2.12,1.99,1.94,1.81,26,0.75,1.95,1.92,2.0,1.95,5.47,3.8,1.74,"Michael Owen, brought in from the wilderness and trying to restore his reputation as an accomplished goalscorer, has declared himself fit to make his debut for Stoke City, almost two years since his last league start with Manchester United. Tony Pulis, the Stoke manager, may give a debut to Steven Nzonzi and Charlie Adam is in line for his first start. City, too, have new players available : Maicon, Matija Nastasic, Javi García and Scott Sinclair. Most importantly, perhaps, they could also have Sergio Agüero available again after his knee injury. Daniel Taylor",2012-09-14,stoke,man city,https://www.theguardian.com/football/2012/sep/14/stoke-city-manchester-city-squad-sheets
E0,2012-09-15,sunderland,liverpool,1,1,D,1,0,H,M Atkinson,6,20,4,9,18,10,2,7,1,2,0,0,3.4,3.3,2.2,3.3,3.3,2.25,3.3,3.3,2.25,3.2,3.2,2.1,3.2,3.25,2.25,3.52,3.52,2.21,3.2,3.1,2.3,3.2,3.3,2.3,3.4,3.4,2.25,3.0,3.25,2.3,39,3.6,3.3,3.53,3.33,2.3,2.2,35,2.06,1.99,1.92,1.83,25,0.25,2.09,2.01,1.9,1.86,3.66,3.59,2.12,"At the end of a week in which the prime minister has apologised to Liverpool fans for terrible wrongs that took place 23 years ago at Hillsborough, the atmosphere on Wearside promises to be poignant and evocative. ""It will be highly charged because of what happened on Wednesday,"" said the Sunderland manager, Martin O'Neill. ""It will be a very emotional occasion with Liverpool fans coming in their droves."" While Brendan Rodgers's players aim to begin correcting a disappointing start to the campaign, Sunderland have surmounted problems with their new pitch's drainage and finally play their first home league game of the season. Louise Taylor",2012-09-14,sunderland,liverpool,https://www.theguardian.com/football/2012/sep/14/sunderland-liverpool-squad-sheets
E0,2012-09-16,reading,tottenham,1,3,A,0,1,A,H Webb,4,22,2,11,4,9,7,4,0,1,0,0,3.75,3.5,2.0,3.8,3.5,2.0,3.8,3.5,2.0,3.6,3.3,1.95,3.6,3.5,2.0,3.75,3.66,2.08,3.75,3.1,2.1,3.75,3.4,2.1,3.7,3.5,2.05,3.5,3.4,2.05,40,3.87,3.68,3.66,3.4,2.1,2.04,36,2.06,1.95,1.91,1.85,22,0.5,1.9,1.84,2.1,2.01,3.68,3.44,2.18,"It is far too early for rampaging anxiety, but André Villas-Boas must surely be eager for a first victory with Tottenham in the Premier League. Although a match at newly promoted Reading will seem promising, the hosts have the benefit of continuity – the manager, Brian McDermott, has served the club in one post or another for 12 years. Like Villas-Boas, he is in search of a first league win in this campaign, but McDermott does not have to cope with the same level of expectation. Jimmy Kébé may return after missing the start of the season with a hamstring injury. Kevin McCarra",2012-09-14,reading,tottenham,https://www.theguardian.com/football/2012/sep/14/reading-tottenham-hotspur-squad-sheets
E0,2012-09-17,everton,newcastle,2,2,D,1,0,H,M Jones,17,11,10,7,16,12,3,3,3,3,0,0,1.73,3.6,5.0,1.75,3.7,4.75,1.75,3.7,4.75,1.85,3.4,3.8,1.85,3.4,4.33,1.77,3.74,5.33,1.8,3.2,5.0,1.83,3.5,4.5,1.75,3.7,5.2,1.83,3.4,4.33,37,1.85,1.78,3.82,3.5,5.2,4.68,33,2.1,1.99,1.88,1.82,21,-0.75,2.06,1.98,1.96,1.9,1.53,4.33,7.06,"Everton host Newcastle on the back of three wins from four in all competitions after an uncharacteristically good start to the new season. But with the home side's loss of Darron Gibson with a thigh strain, and coming off the back of a 2-1 defeat at West Bromwich Albion, they have a tough task in halting a potent Newcastle attack; Hatem Ben Arfa will be looking to recreate his wonder strike against Aston Villa a fortnight ago. Perhaps the most glaring omission for the visitors is that of Tim Krul – the Dutch goalkeeper picked up an elbow injury on Holland duty. Mike Butcher",2012-09-14,everton,newcastle,https://www.theguardian.com/football/2012/sep/14/everton-newcastle-united-squad-sheets
E0,2012-09-22,chelsea,stoke,1,0,H,0,0,D,M Oliver,17,13,9,6,12,15,13,3,2,1,0,0,1.36,4.75,9.0,1.36,4.5,8.75,1.36,4.5,8.75,1.3,4.8,8.5,1.29,4.5,8.0,1.4,5.09,9.15,1.4,4.0,10.0,1.33,5.0,9.5,1.36,5.0,10.5,1.33,5.0,8.5,39,1.4,1.36,5.1,4.71,10.5,9.13,35,1.8,1.72,2.2,2.12,23,-1.25,1.92,1.89,2.03,1.99,1.4,4.95,10.01,"Having grabbed headlines in midweek with an impressive double, Chelsea will have to assess the fitness of the Brazil playmaker Oscar, who will now be eager to make his mark in the Premier League. Both teams head into this contest unbeaten, but Tony Pulis will be looking to end a woeful run of form travelling to the new ""big four"" – Stoke have lost their previous 16 matches at Manchester United, Manchester City, Arsenal and Chelsea. Michael Owen will hope for a first league start after a brief substitute cameo last weekend but Andy Wilkinson starts a three-match ban following his clash with Mario Balotelli. Roberto Di Matteo will be desperate to put last week's handshake feud behind him as Chelsea strive to consolidate their lead at the top of the Premier League table. Xander Drury",2012-09-21,chelsea,stoke,https://www.theguardian.com/football/2012/sep/21/chelsea-stoke-city-squad-sheets
E0,2012-09-22,southampton,aston villa,4,1,H,0,1,A,J Moss,12,8,4,2,5,13,1,4,1,3,0,0,2.4,3.3,3.0,2.4,3.25,2.9,2.4,3.25,2.9,2.4,3.2,2.7,2.38,3.2,2.6,2.45,3.38,3.16,2.5,3.0,3.0,2.4,3.3,3.0,2.5,3.4,3.0,2.4,3.3,2.88,39,2.55,2.42,3.45,3.3,3.2,2.92,34,1.95,1.9,2.0,1.9,23,-0.25,2.12,2.08,1.84,1.81,2.35,3.39,3.33,"Bottom-of-the-table Southampton aim to get off the mark after a tough opening which included admirable efforts in 3-2 defeats by both Manchester clubs. Record signing Gastón Ramírez is in line for his full debut after coming off the bench against Arsenal last week and Nigel Adkins may also contemplate dropping Jos Hooiveld, who is struggling with a calf problem and has made several costly errors recently. The hosts' porous defence could be tested by Christian Benteke, who scored the second in Aston Villa's win over Swansea, and Darren Bent, looking for his first Premier League goal since February. Ron Vlaar should continue to captain the side after taking on the role in Villa's last game. Sean Cole",2012-09-21,southampton,aston villa,https://www.theguardian.com/football/2012/sep/21/southampton-aston-villa-squad-sheets
E0,2012-09-22,swansea,everton,0,3,A,0,2,A,A Taylor,18,30,11,19,23,7,8,3,4,1,1,0,3.0,3.3,2.4,3.1,3.3,2.4,3.1,3.3,2.4,2.6,3.2,2.5,2.5,3.25,2.38,3.23,3.34,2.43,3.0,3.1,2.45,2.88,3.3,2.4,3.0,3.4,2.45,2.9,3.25,2.4,39,3.25,2.98,3.4,3.29,2.5,2.39,34,2.2,2.04,1.85,1.78,23,0.25,1.9,1.85,2.07,2.01,3.25,3.31,2.44,"Swansea hope to recover at home to a wounded Everton side who felt they deserved all three points after some controversial decisions in the 2-2 draw with Newcastle. Michael Laudrup has something of a defensive crisis to deal with: Chico Flores is still suspended, Neil Taylor out for the season, and now the captain, Ashley Williams, faces a late fitness test. For the away side, Everton will be without last season's leading scorer, Nikica Jelavic, who limped out of Monday's match. Goalscoring substitute Victor Anichebe is in the frame to deputise. Sean Cole",2012-09-21,swansea,everton,https://www.theguardian.com/football/2012/sep/21/swansea-city-everton-squad-sheets
E0,2012-09-22,west brom,reading,1,0,H,0,0,D,C Foy,9,8,4,1,14,6,9,1,1,0,0,0,1.73,3.75,4.75,1.75,3.5,4.75,1.75,3.5,4.75,1.7,3.5,4.4,1.8,3.5,3.5,1.83,3.84,4.7,1.85,3.3,4.5,1.83,3.5,4.5,1.8,3.8,4.75,1.8,3.5,4.5,39,1.85,1.8,3.83,3.55,4.85,4.54,34,1.98,1.92,1.98,1.88,22,-0.75,2.09,2.02,1.89,1.85,1.63,4.15,6.05,"After Peter Odemwingie's moment of madness, the Nigerian receiving a red card for kicking out at Fulham's Sascha Riether last week, he begins a three-match ban. Chelsea loanee Romelu Lukaku, with a goal to his name already against Liverpool, will look to fill in, but the more versatile Marc-Antoine Fortuné may be preferred. Having replaced Adam Federici in goal for the visit of Tottenham, Alex McCarthy's solid display, despite the scoreline, should be enough to secure his place. The visitors go into this game winless from three attempts. Sean Cole",2012-09-21,west brom,reading,https://www.theguardian.com/football/2012/sep/21/west-brom-reading-squad-sheets
E0,2012-09-22,west ham,sunderland,1,1,D,0,1,A,L Mason,20,4,11,2,12,10,10,1,2,1,0,0,2.1,3.3,3.6,2.15,3.5,3.5,2.15,3.5,3.5,2.15,3.2,3.1,2.25,3.25,2.75,2.19,3.39,3.72,2.25,3.1,3.4,2.25,3.3,3.3,2.2,3.3,3.6,2.2,3.3,3.3,39,2.25,2.17,3.4,3.29,3.68,3.39,35,2.1,2.01,1.88,1.8,24,-0.25,1.9,1.85,2.08,2.02,2.04,3.41,4.16,"How things have changed since these two teams last met. Different managers, new personnel and fresh chances. With three draws thus far, Sunderland demonstrated their tenacity and organisation last week to steal a point against a dominant Liverpool, but Martin O'Neill will still be worried by an 11-match winless run, stretching back to May. In contrast, West Ham can boast a 100 per cent home record this season, with Jussi Jaaskelainen – secured on a free transfer at the tender age of 37 – yet to concede at Upton Park. The visitors will most likely be without the England winger Adam Johnson, who has a thigh injury, whilst the hosts will continue to employ Carlton Cole and possibly Modibo Maïga as well in the absence of Andy Carroll, who returned to light training this week. Xander Drury",2012-09-21,west ham,sunderland,https://www.theguardian.com/football/2012/sep/21/west-ham-sunderland-squad-sheets
E0,2012-09-22,wigan,fulham,1,2,A,0,1,A,L Probert,18,12,9,9,7,13,8,7,0,3,0,0,2.4,3.3,3.0,2.3,3.2,3.1,2.3,3.2,3.1,2.4,3.2,2.7,2.38,3.2,2.6,2.37,3.44,3.24,2.5,3.0,3.0,2.5,3.3,2.88,2.38,3.3,3.25,2.4,3.25,2.9,39,2.5,2.39,3.4,3.29,3.25,2.97,35,2.12,2.03,1.83,1.78,24,-0.25,2.1,2.03,1.89,1.84,2.42,3.36,3.24,"Wigan, with four points from four games, will be pleased to be back at the DW Stadium after a 4-0 savaging at Old Trafford. They hope to have Antolín Alcaraz resuming defensive duties alongside Gary Caldwell and Iván Ramis, with Emmerson Boyce dropping to the bench. After two classy goals on his home debut, Dimitar Berbatov will lead the line once more for Fulham. In support of him, Hugo Rodallega will hope for a chance to face his former club but Mladen Petric and Bryan Ruiz are back in contention after overcoming niggles. Midfielder Mahamadou Diarra could be out for the season depending on the severity of his knee injury. Sean Cole",2012-09-21,wigan,fulham,https://www.theguardian.com/football/2012/sep/21/wigan-athletic-fulham-squad-sheets
