Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,text,preview_date,home_team,away_team,url
E0,2010-01-30,hull,wolves,2,2,D,1,0,H,M Dean,8,13,4,4,15,10,4,7,2,0,0,0,2.25,3.25,3.25,2.25,3.25,3.05,2.2,3.2,3.2,2.2,3.2,3.2,2.25,3.25,3.25,2.2,3.2,3.0,2.25,3.2,3.25,2.25,3.25,3.25,2.25,3.25,3.4,2.25,3.1,3.25,37,2.46,2.28,3.31,3.22,3.38,3.15,35,2.2,2.08,1.79,1.7,26,0.0,1.74,1.63,2.38,2.22,"Phil Brown has denied that there will be a firesale of Hull's players. Were one required, however, Stephen Hunt could be guaranteed of a new employer, with Wolves tabling three bids. Hunt is Hull's top scorer but Brown has secured attacking reinforcements in the Egyptian, Amr Zaki, who could make his debut today while Wolves may give a first start to either of their recruits from Charleroi, Geoffrey Mujangi Bia and Adlène Guedioura. Hull kick off in the relegation zone; the loser is guaranteed to reside there this evening. Richard Jolly",2010-01-29,hull,wolves,https://www.theguardian.com/football/2010/jan/29/hull-wolves-squad-sheets
E0,2010-01-30,liverpool,bolton,2,0,H,1,0,H,S Bennett,13,4,6,1,12,10,11,3,1,3,0,0,1.44,4.33,7.5,1.42,4.0,7.75,1.45,4.0,7.0,1.45,4.0,7.0,1.44,4.33,7.0,1.44,4.0,6.5,1.44,4.2,7.5,1.44,4.33,7.0,1.44,4.33,8.5,1.5,4.0,7.0,37,1.47,1.43,4.68,4.23,9.22,7.69,35,1.83,1.75,2.12,2.0,26,0.0,1.17,1.12,7.0,5.64,"Reaction to Rafa Benítez's confirmation of interest from Juventus will be keenly observed at Anfield, although the response of his players will be more important. Five league games unbeaten marks their best sequence of the season but, as Tuesday's goalless draw at Wolves showed, Liverpool seriously lack attacking prowess. Owen Coyle, with two successive wins as Bolton manager and Tuesday's reunion with Burnley behind him, will be seeking an improvement on the 4-0 defeat he suffered here with the Clarets in September. Andy Hunter",2010-01-29,liverpool,bolton,https://www.theguardian.com/football/2010/jan/29/liverpool-bolton-wanderers-squad-sheets
E0,2010-01-30,west ham,blackburn,0,0,D,0,0,D,P Walton,7,8,6,4,17,13,10,7,0,1,0,0,2.1,3.3,3.6,2.1,3.2,3.4,2.1,3.25,3.4,2.1,3.25,3.4,2.1,3.4,3.4,2.1,3.2,3.2,2.1,3.25,3.6,2.2,3.4,3.2,2.1,3.25,3.75,2.2,3.25,3.2,37,2.2,2.11,3.45,3.29,3.8,3.46,35,2.06,1.98,1.87,1.77,26,0.0,1.62,1.52,2.67,2.43,"West Ham's confidence that they can avoid relegation is largely based on the fact that many of the bottom-half teams have to visit the Boleyn Ground before the end of the season. The difficulty that Gianfranco Zola's men have experienced in turning possession into goal since Carlton Cole's injury. That means Sam Allardyce will also approach this game with optimism. Eight goals in their last three games notwithstanding, Blackburn's attack has also been generally blunt meaning a low-scoring draw looks the most likely result. Paul Doyle",2010-01-29,west ham,blackburn,https://www.theguardian.com/football/2010/jan/29/west-ham-blackburn-squad-sheets
E0,2010-01-30,wigan,everton,0,1,A,0,0,D,L Probert,10,10,4,7,19,10,4,7,0,2,0,0,3.0,3.3,2.38,2.9,3.2,2.35,3.0,3.2,2.3,2.85,3.2,2.4,2.9,3.3,2.38,2.8,3.2,2.3,3.0,3.25,2.37,3.0,3.25,2.38,3.25,3.2,2.3,2.88,3.25,2.38,36,3.56,3.11,3.4,3.24,2.4,2.3,34,2.11,2.01,1.84,1.75,22,0.0,2.43,2.25,1.68,1.62,"Roberto Martínez, the Wigan manager, has come up with a novel way to stop transfer speculation distracting his players. ""If we need to have a window I don't think we should have any competitive fixtures in that period,"" said the Spaniard, who is battling to suppress ""disgusting"" talk of the left-back Maynor Figueroa leaving the club. David Moyes seems unladen with such gripes as Everton dash up the table. The visitors have not been defeated since November while a year-long injury crisis could be nearing its end. James Callow",2010-01-29,wigan,everton,https://www.theguardian.com/football/2010/jan/29/wigan-athletic-everton-squad-sheets
E0,2010-01-31,arsenal,man united,1,3,A,0,2,A,C Foy,18,11,7,5,9,12,8,5,1,0,0,0,2.6,3.25,2.8,2.4,3.3,2.75,2.6,3.25,2.6,2.3,3.2,3.0,2.6,3.2,2.75,2.4,3.2,2.7,2.6,3.25,2.7,2.6,3.25,2.75,2.5,3.25,2.88,2.6,3.2,2.7,37,2.66,2.51,3.35,3.23,2.98,2.8,35,1.98,1.91,1.93,1.84,25,0.0,1.86,1.79,2.11,2.0,"Arsène Wenger spoke almost fondly of Manchester United yesterday, recalling past encounters and approving Wayne Rooney's brief as a lone striker. The clubs' obsession with one another has waned since Chelsea became such a concern. Yet the struggle is too tight for decorum to be demonstrated at the Emirates. Arsenal have to show they are more formidable now than when beaten easily there in last season's Champions League semi-final. The visitors will try to demonstrate that they have not gone into decline since then. Kevin McCarra",2010-01-29,arsenal,man united,https://www.theguardian.com/football/2010/jan/29/arsenal-manchester-united-squad-sheets
E0,2010-01-31,man city,portsmouth,2,0,H,2,0,H,M Atkinson,13,10,6,4,9,14,10,7,1,3,0,0,1.29,5.0,13.0,1.3,4.75,10.0,1.27,5.0,11.0,1.35,4.5,8.5,1.3,5.0,11.0,1.28,4.75,9.0,1.3,5.0,10.0,1.25,5.5,12.0,1.29,5.0,13.0,1.29,4.75,12.0,37,1.34,1.29,5.45,5.0,13.5,11.05,35,1.8,1.73,2.17,2.03,26,0.0,1.09,1.05,11.0,8.58,"Recent studies suggest the gap between rich and poor in the United Kingdom is widening apace. When it comes to football the chasm has long been yawning and this meeting of the Premier League's wealthiest and most impoverished clubs is anything but a meeting of equals. While Avram Grant considers his future as players are sold behind his back at Portsmouth, Roberto Mancini can strengthen his own position with City by taking another step towards a top-four finish. Debt reduction and recrimination are all that beckon for Pompey. Louise Taylor",2010-01-29,man city,portsmouth,https://www.theguardian.com/football/2010/jan/29/manchester-city-portsmouth-squad-sheets
E0,2010-02-01,sunderland,stoke,0,0,D,0,0,D,H Webb,6,4,5,3,7,16,7,3,2,3,0,0,2.0,3.4,3.8,1.95,3.3,3.75,2.0,3.3,3.6,2.05,3.25,3.5,2.0,3.4,3.75,2.0,3.2,3.5,2.0,3.3,3.75,2.0,3.4,3.75,2.1,3.25,3.75,2.15,3.2,3.4,34,2.15,2.04,3.4,3.27,3.9,3.68,32,2.11,2.01,1.85,1.75,23,0.0,1.52,1.46,3.0,2.58,"Sunderland's dramatic decline this season has led to them plummeting down the table, with their last nine league games yielding just three points. By contrast Stoke, only one place above Sunderland in the table, arrive at the Stadium of Light buoyant after a series of impressive displays. Stoke may have a psychological edge over their opponents following their 1-0 victory at Britannia Stadium in August. However, with Darren Bent, the division's third most prolific scorer, in attack Sunderland remain potent. Ben Evans",2010-01-29,sunderland,stoke,https://www.theguardian.com/football/2010/jan/29/sunderland-stokecity
E0,2010-02-02,hull,chelsea,1,1,D,1,1,D,M Clattenburg,7,21,3,11,9,12,6,8,1,3,0,0,13.0,5.0,1.29,11.0,5.25,1.25,10.0,5.0,1.28,9.5,4.8,1.3,8.0,4.5,1.29,10.0,5.0,1.25,8.5,4.8,1.25,15.0,5.0,1.25,15.0,5.5,1.25,12.0,5.0,1.29,37,15.32,12.35,5.8,5.25,1.29,1.26,36,1.72,1.66,2.3,2.15,26,0.0,13.0,9.3,1.07,1.05,,,,,https://www.theguardian.com/football/2010/jan/08/squad-sheets-hull-city-chelsea
E0,2010-02-03,fulham,portsmouth,1,0,H,0,0,D,A Taylor,14,12,9,8,12,12,5,5,0,1,0,0,1.67,3.5,6.0,1.65,3.45,5.35,1.7,3.5,5.0,1.7,3.5,4.9,1.67,3.4,4.33,1.65,3.5,4.75,1.61,3.4,5.0,1.67,3.5,5.5,1.73,3.5,5.5,1.7,3.5,5.0,36,1.75,1.69,3.66,3.48,5.82,5.33,34,2.26,2.11,1.73,1.68,23,0.0,1.28,1.24,4.05,3.72,,,,,
E0,2010-02-06,bolton,fulham,0,0,D,0,0,D,M Clattenburg,16,7,11,4,8,12,2,5,0,0,0,0,2.25,3.3,3.25,2.2,3.25,3.1,2.25,3.25,3.1,2.2,3.2,3.2,2.2,3.3,3.3,2.25,3.2,2.9,2.25,3.25,3.25,2.25,3.25,3.25,2.25,3.25,3.4,2.3,3.25,3.1,37,2.3,2.23,3.4,3.25,3.61,3.22,34,2.16,2.06,1.79,1.71,25,0.0,1.65,1.6,2.44,2.27,"After beating Manchester United in December, Fulham were touted as outsiders for a place in the top six, talk that was quickly dismissed by the manager, Roy Hodgson. Six weeks and five successive defeats later you could see why, and while Wednesday saw a welcome return to winning ways against Portsmouth, long-term injuries to Andrew Johnson and Clint Dempsey are still being digested. Survival is all that matters to Owen Coyle, but he will be without Ivan Klasnic, Gavin McCann and probably new signing Stuart Holden. Paul Chronnell",2010-02-05,bolton,fulham,https://www.theguardian.com/football/2010/feb/05/squad-sheets-bolton-wanderers-fulham
